ping,pong,payload,run,p50,p99,p999,max,status
fastdds,zerodds,8192,3,0,,,,timeout
fastdds,cyclone,8192,1,2757.38,2983.33,9931.62,2754.54,ok
fastdds,cyclone,8192,2,2901.83,8449.42,9412.5,2491.79,ok
fastdds,cyclone,8192,3,2634.33,7811.79,8522.54,2574.88,ok
fastdds,fastdds,8192,1,6315.21,12622.7,12729,12771.5,ok
fastdds,fastdds,8192,2,6317.62,12642.3,12723.4,12784.7,ok
fastdds,fastdds,8192,3,6326.71,12683,15340.8,21765.4,ok
fastdds,rti,8192,1,114.916,181.958,549.625,672.834,ok
fastdds,rti,8192,2,114.625,201.208,316.75,629.708,ok
fastdds,rti,8192,3,113.334,161.542,405.75,549.292,ok
rti,zerodds,8192,1,0,,,,timeout
rti,zerodds,8192,1,6322.42,27487.1,303721,416638,ok
rti,zerodds,8192,2,0,,,,timeout
rti,zerodds,8192,2,0,,,,timeout
rti,zerodds,8192,3,0,,,,timeout
rti,zerodds,8192,3,0,,,,timeout
rti,cyclone,8192,1,56.292,173.917,234.75,423.084,ok
